Game,Rating,platforms,release_date,genres
Dispatch,95.39999999999999,PC|PlayStation 5,2025-10-22,Adventure|Action|Casual|Strategy|Indie
System Shock 2: 25th Anniversary Remaster,92.4,PC,2025-06-25,Adventure|Action|RPG
DRAGON BALL: Sparking! ZERO,92.0,PC|PlayStation 5|Xbox Series S/X|Nintendo Switch,2025-10-10,Action|Fighting
Legacy of Kain™ Soul Reaver 1&2 Remastered,91.4,PC|PlayStation 5|Xbox One|PlayStation 4|Xbox Series S/X|Nintendo Switch,2024-12-10,Platformer|Adventure|Action|Puzzle
Clair Obscur: Expedition 33,90.39999999999999,PC|PlayStation 5|Xbox Series S/X,2025-04-24,RPG
Split Fiction,88.80000000000001,PC|PlayStation 5|Xbox Series S/X,2025-03-06,Adventure|Action
Bionic Bay,88.6,PC,2025-04-16,Racing|Adventure|Action|Casual|Indie|Platformer
"One Iced Latte With Your Breast Milk, Please! ☕",88.6,PC,2025-03-05,Casual|Indie|Adventure|Simulation
Hades II,88.0,PC|Nintendo Switch,2025-09-25,Indie|Adventure|Action|RPG
The Rise of the Golden Idol,87.6,PC|PlayStation 5|Xbox One|Xbox Series S/X|Nintendo Switch|iOS|Android|macOS,2024-11-12,Indie|Adventure|Puzzle
